canonical_id,detloc,detloc_source
378,WASHIAR,ddp
380,WASHCUT,dmcp
381,WASHONV,dmcp
382,WAUKEWI,ddp
383,WEBDCTX,dmcp
384,WEBERUT,ddp
385,WTXDFTX,dmcp
387,TNWESDF,dmcp
388,WVIRGVA,ddp
389,WHITFGA,dmcp
391,LAWINCI,ddp
392,WOODBIA,ddp
393,WORCEMD,dmcp
394,WYATTRI,ddp
395,YIKIMWA,dmcp
397,YORCOPA,dmcp
398,YUBAJCA,dmcp
1001,ATLANGA,dmcp
1002,JAMESGA,dmcp
1003,CONWECA,dmcp
1004,RIOCCCA,dmcp
1005,OTROPNM,dmcp
1006,YORCOSC,dmcp
1007,WCRDFTX,dmcp
1008,RAADCMN,dmcp
1009,DEAPDMI,dmcp
1010,WAYNENY,dmcp
1011,HALLJGA,dmcp
1012,MECKLNC,dmcp
1013,ALEXAVA,dmcp
1014,JOSEPOR,dmcp
1015,ROCKIIL,dmcp
1016,ELPASCO,dmcp
1017,ELGPDIL,dmcp
1018,MOFFECO,dmcp
1019,OCIRCCA,dmcp
1020,KENTCMI,dmcp
1021,GLEPDCA,dmcp
1022,TGREETX,dmcp
1023,YAVCVAZ,dmcp
1024,HAILEID,dmcp
1025,SANJAIL,dmcp
1026,PWILLVA,dmcp
1027,FAICOVA,dmcp
1028,NORFOMA,dmcp
1029,SCRUZAZ,dmcp
1030,TAYLOTX,dmcp
1031,TITUSTX,dmcp
1032,ALHAMCA,dmcp
1033,ALLEGPA,dmcp
1034,APACHAZ,dmcp
1035,BEDFOOH,dmcp
1036,COCONAZ,dmcp
1037,WVEASTR,dmcp
1038,LAPLACO,dmcp
1039,MECKLN2,dmcp
1040,MISCOMO,dmcp
1041,MONTGPA,dmcp
1042,MONTGAL,dmcp
1043,NAVSOAZ,dmcp
1044,ONTARNY,dmcp
1045,OCCWJCA,dmcp
1046,POMONCA,dmcp
1047,PUEBLCO,dmcp
1048,RICECKS,dmcp
1049,SALEMNJ,dmcp
1050,SBERNCA,dmcp
1051,SACITCA,dmcp
1052,TENSALA,dmcp
1053,UTAHCUT,dmcp
2001,ATLHOLD,ero
2002,BALHOLD,ero
2003,BOSHOLD,ero
2004,BUFHOLD,ero
2005,CHIHOLD,ero
2006,DALHOLD,ero
2007,DENHOLD,ero
2008,DETHOLD,ero
2010,HLGHOLD,ero
2011,HOUHOLD,ero
2012,LOSHOLD,ero
2013,MIAHOLD,ero
2014,NOLHOLD,ero
2015,NYCHOLD,ero
2016,NEWHOLD,ero
2017,PHIHOLD,ero
2018,PHOHOLD,ero
2019,SLCHOLD,ero
2020,SNAHOLD,ero
2022,SFRHOLD,ero
2023,SEAHOLD,ero
2024,SPMHOLD,ero
2025,WASHOLD,ero
2026,BHMHOLD,marshall
2027,ETWHOLD,marshall
2028,FAYHOLD,marshall
2029,FSAHOLD,marshall
2030,LRAHOLD,marshall
2031,TXAHOLD,marshall
2032,IWAHOLD,marshall
2033,TUCHOLD,marshall
2034,YUMHOLD,marshall
2035,BKLHOLD,marshall
2036,FREHOLD,marshall
2037,IMPHOLD,marshall
2038,SAAHOLD,marshall
2039,SACHOLD,marshall
2040,SBDHOLD,marshall
2041,SNJHOLD,marshall
2042,STK,marshall
2043,VENHOLD,marshall
2044,WESHOLD,marshall
2045,ALMHOLD,marshall
2046,CRGHOLD,marshall
2047,DURHOLD,marshall
2048,FRDHOLD,marshall
2049,GJCHOLD,marshall
2050,GSCHOLD,marshall
2051,PUEHOLD,marshall
2052,HARHOLD,marshall
2053,DVDHOLD,marshall
2054,FMYHOLD,marshall
2055,JAXHOLD,marshall
2056,KRHUBFL,marshall
2057,KROHOLD,marshall
2058,ORLHOLD,marshall
2059,STUHOLD,marshall
2060,TALHOLD,marshall
2061,TAMHOLD,marshall
2062,AGAHOLD,marshall
2063,HHWHOLD,marshall
2064,CRIHOLD,marshall
2065,DSMHOLD,marshall
2066,SXCHOLD,marshall
2067,BOIHOLD,marshall
2068,IFIHOLD,marshall
2069,TFIHOLD,marshall
2070,BSAHOLD,marshall
2071,RIIHOLD,marshall
2072,INPHOLD,marshall
2073,WICHOLD,marshall
2074,LOUHOLD,marshall
2075,OAKHOLD,marshall
2076,VVSHOLD,marshall
2077,POMHOLD,marshall
2078,GRMHOLD,marshall
2079,SPGHOLD,marshall
2080,STLHOLD,marshall
2081,SAIHOLD,marshall
