"canonical_id","canonical_name","id_range","in_fy_panel","in_faclist15","in_faclist17","has_detloc","in_ddp","in_marshall","in_vera","is_geocoded","geocode_source","n_sources"
252,"Natrona County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
253,"Nelson Coleman Correction","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
254,"Nevada Southern Detention Center","panel",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
255,"New Hanover County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"divergent",6
256,"Niagara County Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
257,"Nobles County Jail","panel",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
258,"North Central Regional Jail","panel",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"google_maps",1
260,"North Lake Correctional Facility","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
262,"Northeast Ohio Correctional Center","panel",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
263,"Northern Oregon Correctional Facility","panel",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
264,"Northern Oregon Juvenile Detention","panel",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",3
265,"Northern Regional Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
268,"Northwest Regional Corrections Center","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
269,"Northwest State Correctional Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
271,"Nye County Detention Center (Nevada)","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
272,"Ogle County Jail","panel",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",3
273,"Okmulgee County Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
274,"Oldham County Detention Center","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:google_maps",4
275,"Oldham County Jail","panel",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"google_maps",2
278,"Orange County Jail (Florida)","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
279,"Orange County Jail (New York)","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
281,"Otay Mesa Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
282,"Otero County Detention","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
283,"Otero County Processing Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
284,"Ozark County Sheriff's Office","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"auto:google_maps+vera_institute",3
285,"Pennington County Jail (South Dakota)","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
287,"Phelps County Jail (Missouri)","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
288,"Phelps County Jail (Nebraska)","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
289,"Pickens County Detention Center","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
291,"Pike County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
292,"Pine Prairie ICE Processing Center","panel",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
293,"Pinellas County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
294,"Platte County Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:google_maps",6
295,"Platte County Jail","panel",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
296,"Plymouth County Correctional Facility","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
297,"Polk County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
300,"Pottawattamie County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
302,"Prairieland Detention Center","panel",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:vera_institute",5
303,"Farmville Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
304,"Pulaski County Jail","panel",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"auto:google_maps+vera_institute",5
305,"Putnam County Sheriff","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
306,"Randall County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
307,"Red Roof Inn","panel",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",3
308,"Rensselaer County Correctional Facility","panel",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",3
310,"Richwood Correctional Center","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"preference:google_maps",3
311,"Rio Grande County Jail","panel",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",3
312,"Rio Grande Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
313,"Port Isabel Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
314,"River Correctional Center","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"preference:google_maps",3
315,"Riverside County Sheriff","panel",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",3
316,"Riverside Regional Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
317,"Roanoke City Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
318,"Robert A. Deyton Detention Center","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"preference:google_maps",3
320,"Rockingham County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
321,"Rolling Plains Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
323,"Saint Tammany Parish Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
324,"Saipan Department of Corrections (Susupe)","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:vera_institute",4
325,"Saline County Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
326,"Salt Lake County Metro Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:google_maps",4
327,"San Diego District Staging","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
328,"San Juan Staging","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:vera_institute",4
329,"San Luis Regional Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:google_maps",6
330,"Sarpy County Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
331,"Sauk County Sheriff","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
332,"Sebastian County Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
333,"Seneca County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
334,"Shawnee County Department of Corrections","panel",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
335,"Sherburne County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
336,"Sioux County Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",4
337,"South Central Regional Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
339,"South Louisiana ICE Processing Center","panel",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
341,"South Texas Family Residential Center","panel",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"google_maps",1
343,"South Texas ICE Processing Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
344,"Southern Regional","panel",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"google_maps",1
345,"Southwestern Regional Jail","panel",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"google_maps",1
346,"St. Clair County Jail","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
347,"Ste. Genevieve County Sheriff/Jail","panel",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"google_maps+vera_institute",3
348,"Stewart Detention Center","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
349,"Story County Jail","panel",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",3
350,"Strafford County Corrections","panel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"google_maps+vera_institute",6
351,"Suffolk County House of Corrections","panel",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"google_maps+vera_institute",5
352,"Suites On Scottsdale-Casa De Alegría","panel",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"google_maps+vera_institute",2
353,"Sunny Glen Cld Home NDR Center","panel",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"google_maps",1
354,"Sweetwater County Jail","panel",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"preference:vera_institute",5
