canonical_id,canonical_name,facility_address,facility_city,facility_state,facility_zip,lat,lon,geocode_source,google_lat,google_lon,source_lat,source_lon,source_name,divergence_km,address_quality,divergent
1174,Maverick County Jail,1051 Balboa Jones Boulevard,Eagle Pass,TX,78852,28.719324,-100.459986,preference:vera_institute,28.7091433,-100.4995214,28.719324,-100.459986,vera_institute,4.018286261246002,full,TRUE
1175,Mclennan County Jail,501 Washington Avenue,Waco,TX,76701,31.5574572,-97.1336004,google_maps+vera_institute,31.5574572,-97.1336004,31.557534,-97.133016,vera_institute,0.05602708225530395,full,FALSE
1176,Potter County Jail,13103 NE 29th,Amarillo,TX,79111,35.2412073,-101.6670195,google_maps+vera_institute,35.2412073,-101.6670195,35.240552,-101.6673,vera_institute,0.07719058775100553,full,FALSE
1177,Ursula Centralized Processing Cntr,3700 W Ursula Ave,Mcallen,TX,78503,26.158648,-98.2702257,google_maps+vera_institute,26.158648,-98.2702257,26.158576,-98.269651,vera_institute,0.05791455835076375,full,FALSE
1178,Uvalde County Jail,399 East Nopal,Uvalde,TX,78801,29.2124857,-99.7810038,google_maps+vera_institute,29.2124857,-99.7810038,29.212368,-99.782787,vera_institute,0.17355860058154635,full,FALSE
1179,Webb County Jail,9998 South Highway 83,Laredo,TX,78046,27.3698802,-99.4902562,google_maps+vera_institute,27.3698802,-99.4902562,27.370718,-99.490385,vera_institute,0.09402331138616044,full,FALSE
1180,Wilson County Jail,800 10th St Unit 4,Floresville,TX,78114,29.1481388,-98.1576773,google_maps+vera_institute,29.1481388,-98.1576773,29.148851,-98.157763,vera_institute,0.07962914807970174,full,FALSE
1181,Zavala County Jail,200 E Uvalde Street #5,Crystal City,TX,78839,28.6794662,-99.8269368,google_maps+vera_institute,28.6794662,-99.8269368,28.679507,-99.82698,vera_institute,0.006192130443294769,full,FALSE
1183,Summit County Jail,6300 North Silver Creek Drive,Park City,UT,84098,40.7225688,-111.4815177,google_maps+vera_institute,40.7225688,-111.4815177,40.720554,-111.478368,vera_institute,0.34734442960247935,full,FALSE
1184,B.R.R.J. Abingdon,510 Ninth Street,Lynchburg,VA,24504,37.4127044,-79.14515209999999,google_maps+vera_institute,37.4127044,-79.14515209999999,37.413162,-79.145069,vera_institute,0.05140939017100002,full,FALSE
1185,Petersburg Fed.Corr.Inst.,1060 River Rd,Hopewell,VA,23860,37.2982604,-77.33969909999999,google_maps+vera_institute,37.2982604,-77.33969909999999,37.29826,-77.339699,vera_institute,4.534900342617558e-5,full,FALSE
1186,Chesterfield Co. Jail,6900 Mimms Dr,Chesterfield,VA,23832,37.3789599,-77.507889,google_maps+vera_institute,37.3789599,-77.507889,37.37896,-77.507889,vera_institute,1.1119492794399349e-5,full,FALSE
1187,Chesapeake City Jail,400 Albemarle Dr,Chesapeake,VA,23322,36.7176219,-76.25162329999999,google_maps+vera_institute,36.7176219,-76.25162329999999,36.717768,-76.251591,vera_institute,0.016498709668649737,full,FALSE
1188,Culpeper Co. Adult Det. Center,131 W. Cameron St.,Culpeper,VA,22701,38.4740109,-77.9967482,google_maps+vera_institute,38.4740109,-77.9967482,38.474087,-77.996688,vera_institute,0.009953309384050266,full,FALSE
1189,Central VA Regional Jail,13021 James Madison Hwy,Orange,VA,22960,38.2271835,-78.116604,google_maps+vera_institute,38.2271835,-78.116604,38.222836,-78.123706,vera_institute,0.7864921251137362,full,FALSE
1190,Henrico County Jail,17320 New Kent Hwy,Barhamsville,VA,23011,37.4953324,-76.8610678,google_maps+vera_institute,37.4953324,-76.8610678,37.49546,-76.861121,vera_institute,0.014944598003225115,full,FALSE
1191,B.R.R.J. Halifax,1010 Blue Ridge Lane,Halifax,VA,24558,36.7649032,-78.9301251,google_maps+vera_institute,36.7649032,-78.9301251,36.765066,-78.930114,vera_institute,0.01812951726181611,full,FALSE
1192,Loudoun County,42035 Loudoun Center Place,Leesburg,VA,20175,39.0749941,-77.5446307,google_maps+vera_institute,39.0749941,-77.5446307,39.075238,-77.544925,vera_institute,0.03716077706767154,full,FALSE
1193,Middle River Regional Jail,350 Technology Dr,Staunton,VA,24401,38.191925,-79.0104679,preference:google_maps,38.191925,-79.0104679,38.192874,-79.011619,vera_institute,0.14579146569082574,full,FALSE
1194,Northern Neck Reg. Jail,3908 Richmond Rd,Warsaw,VA,22572,37.9644452,-76.79128779999999,google_maps+vera_institute,37.9644452,-76.79128779999999,37.96468,-76.79151,vera_institute,0.032574471855829096,full,FALSE
1195,Norfolk City Jail,811 East City Hall Avenue,Norfolk,VA,23510,36.846157,-76.28456039999999,google_maps+vera_institute,36.846157,-76.28456039999999,36.846005,-76.283166,vera_institute,0.1252246770786661,full,FALSE
1196,NW Reg Juv Det Ctr,145 Fort Collier Rd.,Winchester,VA,22603,39.1998421,-78.1450776,google_maps+vera_institute,39.1998421,-78.1450776,39.199842,-78.145078,vera_institute,3.621724222759343e-5,full,FALSE
1197,Northwest Reg. Adult Det.,141 Fort Collier Road,Winchester,VA,22603,39.19883129999999,-78.1438831,google_maps+vera_institute,39.19883129999999,-78.1438831,39.198506,-78.146302,vera_institute,0.21155556150130822,full,FALSE
1198,Piedmont Reg Jail,801 Industrial Park Road,Farmville,VA,23901,37.3243363,-78.4285541,google_maps+vera_institute,37.3243363,-78.4285541,37.320601,-78.425392,vera_institute,0.5006952714273176,full,FALSE
1199,Rappahannock Regional Jail,1745 Richmond Hwy,Stafford,VA,22554,38.4068098,-77.42241709999999,preference:google_maps,38.4068098,-77.42241709999999,38.318495,-77.471987,vera_institute,10.729128487670025,full,TRUE
1200,Virginia Beach,2501 James Madison Boulevard,Virginia Beach,VA,23456,36.7528158,-76.0614299,google_maps+vera_institute,36.7528158,-76.0614299,36.753146,-76.060064,vera_institute,0.1271090625691075,full,FALSE
1201,Addison County Jail,35 Court Street,Middlebury,VT,05753,44.0115031,-73.16364829999999,google_maps+vera_institute,44.0115031,-73.16364829999999,44.011519,-73.163545,vera_institute,0.008448119561180675,full,FALSE
