"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","detloc","facility_address","facility_zip","facility_type_detailed","facility_male_female","adp","source","facility_type_wiki","facility_aor","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY15",274,"Oldham County Detention Center","Oldham County Jail","La Grange","KY","OLDHAKY","100 W Main Street","40031","IGSA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",278,"Orange County Jail (Florida)","Orange County Jail","Orlando","FL","ORANGFL","3855 South John Young Parkway","32839","USMS IGA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",279,"Orange County Jail (New York)","Orange County Jail","Goshen","NY","ORANGNY","110 Wells Farm Road","10924","IGSA","Female/Male",129,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",281,"Otay Mesa Detention Center","Otay Mesa Detention Center (San Diego Cdf)","San Diego","CA","CCASDCA","7488 Calzada De La Fuente","92154","USMS CDF","Female/Male",635,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",283,"Otero County Processing Center","Otero County Processing Center","Chaparral","NM","OTRPCNM","26 Mcgregor Range Road","88081","DIGSA","Male",826,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",288,"Phelps County Jail (Nebraska)","Phelps County Jail","Holdrege","NE","PHELPNE","715 5th Avenue","68949","USMS IGA","Male",3,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",291,"Pike County Jail","Pike County Correctional Facility","Lords Valley","PA","PIKCOPA","175 Pike County Boulevard","18428","IGSA","Male",114,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",295,"Platte County Jail","Platte County Jail","Wheatland","WY","PLATTWY","850 Maple Street","82201","USMS IGA","Female/Male",0.1,"faclist15","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",296,"Plymouth County Correctional Facility","Plymouth County Correctional Facility","Plymouth","MA","PLYMOMA","26 Long Pond Road","02360","IGSA","Male",61,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",297,"Polk County Jail","Polk County Jail","Des Moines","IA","POLKJIA","1985 Ne 51st","50313","USMS IGA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
