"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","detloc","facility_address","facility_zip","facility_type_detailed","facility_male_female","adp","source","facility_type_wiki","facility_aor","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY15",226,"Marion County Jail","Marion County Jail","Indianapolis","IN","MARIOIN","40 South Alabama Street","46204","USMS IGA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",227,"Marshall County Jail","Marshall County Jail","Marshalltown","IA","MARSHIA","2369 Jessup Avenue","50158","USMS IGA","Female/Male",24,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",230,"Mchenry County Correctional Facility","Mchenry County Correctional Facility","Woodstock","IL","MCHENIL","2200 North Seminary Avenue","60098","USMS IGA","Female/Male",167,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",231,"Mesa Verde ICE Processing Center","Mesa Verde Detention Facility","Bakersfield","CA","CACFMES","425 Golden State Ave","93301","DIGSA","Female/Male",159,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",237,"Minicassia Detention Center","Minicassia Detention Center","Burley","ID","MINICID","1415 Albion Avenue","83318","IGSA","Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",239,"Monroe County Detention Center","Monroe County Detention Center","Key West","FL","MONROFL","5501 College Road","33040","IGSA","Male",46,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",240,"Monroe County Detention-Dorm","Monroe County Detention-Dorm","Monroe","MI","MONROMI","7000 East Dunbar Road","48161","IGSA","Male",43,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",241,"Montgomery City Jail","Montgomery City Jail","Montgomery","AL","MNTGMAL","320 North Ripley Street","36104","IGSA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",243,"Montgomery County Jail","Montgomery County Jail","Montgomery City","MO","MONTGMO","211 East Third Street","63361","IGSA","Male",14,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",245,"Morgan County Adult Detention Center","Morgan County Adult Detention Center","Versailles","MO","MORGNMO","211 East Newton Street","65084","IGSA","Male",29,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",246,"Morrow County Correctional Facility","Morrow County Correctional Facility","Mount Gilead","OH","MOROWOH","101 Home Road","43338","IGSA","Female/Male",32,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",257,"Nobles County Jail","Nobles County Jail","Worthington","MN","NOBLEMN","1530 Airport Road","56187","IGSA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY15",263,"Northern Oregon Correctional Facility","Northern Oregon Correctional Facility","The Dalles","OR","NORCOOR","211 Webber Road","97058","IGSA","Female/Male",7,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
