canonical_id,canonical_name,canonical_city,canonical_state
71,Chittenden Regional Correctional Facility,South Burlington,VT
72,Christian County Jail,Hopkinsville,KY
73,Christian County Jail,Ozark,MO
74,Cibola County Correctional Center,Milan,NM
75,Cibola County Detention Center,Grants,NM
76,Cimmarron Correctional Facility,Cushing,OK
77,Clark County Jail (Indiana),Jeffersonville,IN
79,Clay County Justice Center,Brazil,IN
80,Clinton County Correctional Facility,Lock Haven,PA
81,Clinton County Correctional Facility,McElhattan,PA
82,Clinton County Jail,Frankfort,IN
83,Clinton County Jail,Plattsburgh,NY
84,Coastal Bend Detention Facility,Robstown,TX
85,Cobb County Jail,Marietta,GA
86,Collier County Naples Jail Center,Naples,FL
87,Comfort Suites-Casa Consuelo,El Paso,TX
88,Correctional. Center of Northwest Ohio,Stryker,OH
89,Cowlitz County Juvenile,Longview,WA
90,Crow Wing County Jail,Brainerd,MN
91,Cumberland County Jail,Portland,ME
92,Dakota County Jail,Dakota City,NE
93,Dallas County Jail - Lew Sterrett Justice Center,Dallas,TX
94,Davidson County Sheriff,Nashville,TN
95,Daviess County Detention,Martinsburg,WV
96,Daviess County Detention,Owensboro,KY
97,Davis County,Farmington,UT
98,Dekalb County Detention Center,Fort Payne,AL
100,Delaware County Jail (George W. Hill),Thornton,PA
101,Denver Contract Detention Facility,Aurora,CO
102,Denver Contract Detention Facility (CDF) II,Aurora,CO
103,Department of Corrections Hagatna,Hagatna,GU
105,Adelanto ICE Processing Center,Adelanto,CA
106,Diamondback Correctional Facility,Watonga,OK
108,Camp East Montana,El Paso,TX
109,Dodge County Jail,Juneau,WI
110,Dona Ana County Detention Center,Las Cruces,NM
111,Dorchester County Detention Center,Cambridge,MD
112,Dorchester County Detention Center,Summerville,SC
113,Douglas County,Superior,WI
114,Douglas County Department of Corrections,Omaha,NE
115,East Hidalgo Detention Center,La Villa,TX
116,East Mesa Detention Facility,San Diego,CA
117,Eden Detention Center,Eden,TX
118,El Paso County Detention Facility,El Paso,TX
119,El Paso Service Processing Center,El Paso,TX
120,El Valle Detention Facility,Raymondville,TX
121,Elizabeth Detention Center,Elizabeth,NJ
122,Elmore County Jail,Mountain Home,ID
123,Eloy Detention Center,Eloy,AZ
124,Erie County Jail,Erie,PA
125,Delaney Hall Detention Facility,Newark,NJ
127,Etowah County Jail,Gadsden,AL
128,Euless City Jail,Euless,TX
129,FCI Atlanta,Atlanta,GA
130,FDC Philadelphia,Philadelphia,PA
132,Fayette County Detention Center,Lexington,KY
133,Finney County Jail,Garden City,KS
134,Florence Service Processing Center,Florence,AZ
135,Florence Staging Facility,Florence,AZ
136,Florida Soft-Sided Facility,Ochopee,FL
137,Floyd County Jail,Rome,GA
138,Folkston Annex IPC,Folkston,GA
139,Folkston ICE Processing Center,Folkston,GA
141,Forsyth County Jail,Winston-Salem,NC
142,Franklin County House of Correction,Greenfield,MA
143,Franklin County Jail,Chambersburg,PA
144,Frederick County Detention Center,Frederick,MD
145,Freeborn County Adult Detention Center,Albert Lea,MN
146,Fulton County Jail Indiana,Rochester,IN
147,Garvin County Detention Center,Pauls Valley,OK
148,Gaston County Jail,Gastonia,NC
149,Geauga County Jail,Chardon,OH
150,Glades County Detention Center,Moore Haven,FL
151,Golden State Annex,McFarland,CA
152,Grand Forks County Correctional Facility,Grand Forks,ND
153,Grayson County Jail,Leitchfield,KY
154,Greene County Jail,Springfield,MO
155,Guaynabo MDC (San Juan),San Juan,PR
156,Hall County Department of Corrections,Grand Island,NE
158,Hancock County Public Safety Complex,Bay St. Louis,MS
159,Hardin County Jail,Eldora,IA
160,Henderson County Jail,Athens,TX
162,Henderson Detention,Henderson,NV
163,Hillsborough County Jail,Tampa,FL
164,Holiday Inn Exp San Antonio,San Antonio,TX
165,Holiday Inn Express-Casa De La Luz,Phoenix,AZ
166,Honolulu Federal Detention Center,Honolulu,HI
167,Hopkins County Jail,Madisonville,KY
168,Houston Processing Center,Houston,TX
169,Howard County Detention Center,Jessup,MD
170,Hudson County Correctional Center,Kearny,NJ
171,IAH Secure Adult Detention Facility (Polk),Livingston,TX
174,Imperial Regional Detention Facility,Calexico,CA
175,Irwin County Detention Center,Ocilla,GA
176,JTF Camp Six,Guantanamo Bay,Cuba
177,Jack Harwell Detention Center,Waco,TX
178,Jackson Parish Correctional Center,Jonesboro,LA
179,James A. Musick Facility,Irvine,CA
180,Jefferson County Jail,Rigby,ID
182,Joe Corley Processing Center,Conroe,TX
183,Johnson County Corrections Center,Cleburne,TX
184,Kandiyohi County Jail,Willmar,MN
185,Kankakee County Jail (Jerome Combs Detention Center),Kankakee,IL
186,Kansas City Holdroom,Kansas City,MO
188,Karnes County Correctional Center,Karnes City,TX
190,Karnes County Residential Center,Karnes City,TX
191,Karnes County Immigration Processing Center,Karnes City,TX
192,Kay County Justice Facility,Newkirk,OK
193,Kenosha County Detention Center,Kenosha,WI
194,Kenton County Jail,Covington,KY
195,Kittitas County Jail,Ellensburg,WA
196,Knox County Detention Facility,Knoxville,TN
197,Krome North Service Processing Center,Miami,FL
199,La Palma Correctional Center,Eloy,AZ
200,La Paz County Adult Detention Facility,Parker,AZ
201,La Quinta Inn By Wyndham Sna,San Antonio,TX
202,La Quinta-Wyndham-Casa De Paz,Pearsall,TX
203,La Salle County Regional Detention Center,Encinal,TX
204,Lake County Jail,Tavares,FL
