canonical_id,address_string,google_lat,google_lon
118,"601 E. Overland, El Paso, TX, 79901, USA",31.7584731,-106.4831939
119,"8915 Montana Ave., El Paso, TX, 79925, USA",31.7942381,-106.3676273
120,"1800 Industrial Drive, Raymondville, TX, 78580, USA",26.470298,-97.7586475
121,"625 Evans Street, Elizabeth, NJ, 07201, USA",40.6660324,-74.1898667
122,"2255 E. 8th North, Mountain Home, ID, 83647, USA",43.1368404,-115.6731309
123,"1705 East Hanna Rd., Eloy, AZ, 85131, USA",32.8176183,-111.5200907
124,"Department Of Corrections 1618 Ash Street, Erie, PA, 16503, USA",42.123951,-80.06694809999999
125,"451 Doremus Avenue, Newark, NJ, 07105, USA",40.7181313,-74.12849729999999
127,"827 Forrest Avenue, Gadsden, AL, 35901, USA",34.0165766,-86.0123672
128,"1102 W., Euless, TX, 76040, USA",32.8290476,-97.1022044
129,"601 Mcdonough Boulevard, SE, Atlanta, GA, 30315, USA",33.7123589,-84.3685888
130,"700 Arch St., Philadelphia, PA, 19106, USA",39.9526835,-75.1521168
132,"600 Old Frankford Cr, Lexington, KY, 40510, USA",38.0654485,-84.5456706
133,"304 N. 9th Street, Garden City, KS, 67846, USA",37.9676572,-100.8759294
134,"3250 North Pinal Parkway, Florence, AZ, 85132, USA",33.0639575,-111.3794442
135,"3250 North Pinal Parkway, Florence, AZ, 85232, USA",33.0639575,-111.3794442
136,"54575 Tamiami Trl E, Ochopee, FL, 34141, USA",25.9015333,-81.3047701
137,"2526 New Calhoun Hwy, Rome, GA, 30161, USA",34.280156,-85.1414741
138,"3424 Hwy 252 East, Folkston, GA, 31537, USA",30.8749079,-81.9806924
139,"3262 Highway 252, Folkston, GA, 31537, USA",30.8740285,-81.97946449999999
141,"201 North Church Street, Winston-Salem, NC, 27101, USA",36.096971,-80.2422699
142,"160 Elm Street, Greenfield, MA, 1301, USA",42.596401,-72.6125319
143,"625 Franklin Farm Ln, Chambersburg, PA, 17201, USA",39.9349618,-77.62632529999999
144,"7300 Marcie's Choice Lane, Frederick, MD, 21704, USA",39.3658822,-77.41307570000001
145,"411 South Broadway Avenue, Albert Lea, MN, 56007, USA",43.6459816,-93.3681003
146,"2006 Sweetgum Rd, Rochester, IN, 46975, USA",41.052251,-86.2317408
147,"201 West Grant Avenue, Pauls Valley, OK, 73075, USA",34.7404942,-97.2220938
148,"425 North Marietta Street, Gastonia, NC, 28052, USA",35.257809,-81.1822263
149,"12450 Merritt Dr, Chardon, OH, 44024, USA",41.5046752,-81.1915623
150,"1297 East Sr 78, Moore Haven, FL, 33471, USA",26.8386472,-81.1239104
151,"611 Frontage Rd, McFarland, CA, 93250, USA",35.6697644,-119.2278172
152,"1701 North Washington St, Grand Forks, ND, 58203, USA",47.935621,-97.0576258
153,"320 Shaw Station Road, Leitchfield, KY, 42754, USA",37.4890253,-86.27049819999999
154,"1199 N Haseltine Rd, Springfield, MO, 65802, USA",37.224653000000004,-93.38618
155,"Hwy 28 Intsect Of Road 165, San Juan, 939, Puerto Rico",18.4235781,-66.1036671
156,"110 Public Safety Drive, Grand Island, NE, 68801, USA",40.9266016,-98.3286932
158,"8450 Highway 90, Bay St. Louis, MS, 39520, USA",30.3025048,-89.4762853
159,"1116 14th Avenue, Eldora, IA, 50627, USA",42.3600424,-93.097467
160,"206-A N Murchison Street, Athens, TX, 75751, USA",32.2096678,-95.8467561
162,"18 E Basic Road, Henderson, NV, 89015, USA",36.0309509,-114.9787348
163,"1201 North Orient Road, Tampa, FL, 33619, USA",27.959392,-82.3720724
164,"2027 S East Loop 410, San Antonio, TX, 78220, USA",29.4020511,-98.3904132
165,"15221 S  50th St, Phoenix, AZ, 85044, USA",33.308392,-111.9734076
166,"351 Elliott St., Honolulu, HI, 96819, USA",21.3338725,-157.9279267
167,"2250 Lafoon Trail, Madisonville, KY, 42431, USA",37.3377164,-87.54017809999999
168,"15850 Export Plaza Drive, Houston, TX, 77032, USA",29.9497807,-95.3122694
169,"7301 Waterloo Road, Jessup, MD, 20794, USA",39.1694445,-76.781821
170,"30-35 Hackensack Ave., Kearny, NJ, 7032, USA",40.7279128,-74.10840379999999
171,"3400 Fm 350 South, Livingston, TX, 77351, USA",30.6980352,-95.0062201
174,"1572 Gateway, Calexico, CA, 92231, USA",32.6901156,-115.3975363
175,"132 Cotton Drive, Ocilla, GA, 31772, USA",31.5798201,-83.25536380000001
176,"Bldg 2144, U.S. Naval Station, Guantanamo Bay, 34009, Cuba",19.9147787,-75.14977929999999
