canonical_id,canonical_name,detloc,facility_type,facility_type_wiki,state,address,city,zip,county,lat,lon,aor,date_first_use,date_last_use,address_source
2149,Redding Hold Room,REDHOLD,hold_room,ICE Hold Room,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2150,Santa Maria Sub Office ERO,SMAHOLD,sub_office,ICE ERO Sub-Office,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2151,Colo Springs Den Hsi Hold,CSDHOLD,hold_room,ICE Hold Room,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2152,Bowling Green Hold Room,BLGHOLD,hold_room,ICE Hold Room,KY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2153,Salisbury Hold Room,SALHOLD,hold_room,ICE Hold Room,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2154,Duluth Hold Room,DULHOLD,hold_room,ICE Hold Room,MN,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2155,Mount Laurel Hold Room,MLJHOLD,hold_room,ICE Hold Room,NJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2156,Las Cruces Hold Room,LASHOLD,hold_room,ICE Hold Room,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2157,Roswell Hold Room,RSWHOLD,hold_room,ICE Hold Room,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2158,Champlain Hold Room,CHMHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2159,Central Islip Hold Room,CIPHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2160,Newburgh Holding,NBGHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2161,Syracuse Hold Room,SYRHOLD,hold_room,ICE Hold Room,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2162,Tulsa Hold Room,TULHOLD,hold_room,ICE Hold Room,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2163,Williamsport Hold Room,WPOHOLD,hold_room,ICE Hold Room,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2164,York Hold Room,YRKHOLD,hold_room,ICE Hold Room,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2165,Corpus Christi Eor Hold Room,CRPHOLD,hold_room,ICE Hold Room,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2166,Mcallen Hold Room,MCAHOLD,hold_room,ICE Hold Room,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2167,Montgomery Hold Rm,MTGHOLD,hold_room,ICE Hold Room,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2168,"Lorton, Va Hold Room",LTVHOLD,hold_room,ICE Hold Room,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2169,Roanoke Sub-Office Hold Room,RMKHOLD,sub_office,ICE ERO Sub-Office,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2170,Ferndale Hold Room,FDLHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2171,Richland Hold Room,RICHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2172,Spokane Hold Room,SPOHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
2173,Wenatchee Hold Room,WNTHOLD,hold_room,ICE Hold Room,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddp_stub
